Registration Number,Registration Via,Card Number,STID Number,Plat Number,Company,Date Active,Date Expired,Date Request,Date Submit,Date Approval
REQ22SUB00001,APTRINDO,0000000919804108,CA4000001,L8677UR,PT BERKAH MULTI CARGO,2022-7-8,2024-7-8,2022-7-6,2022-7-7,2022-7-7
REQ22SUB00002,APTRINDO,0000000972844236,CA4000002,L9765UH,PT BERKAH MULTI CARGO,2022-7-12,2024-7-12,2022-7-7,2022-7-7,2022-7-7
REQ22SUB00003,APTRINDO,0000000970706108,CA4000003,L8034UM,PT BERKAH MULTI CARGO,2022-7-12,2024-7-12,2022-7-7,2022-7-7,2022-7-7
REQ22SUB00004,APTRINDO,0000000585065438,CA4000004,L8768UH,PT BERKAH MULTI CARGO,2022-7-8,2024-7-8,2022-7-7,2022-7-7,2022-7-7
REQ22SUB00005,APTRINDO,0000000963663564,CA4000009,L8394UH,PT BERKAH MULTI CARGO,2022-7-15,2024-7-15,2022-7-7,2022-7-12,2022-7-12
REQ22SUB00006,APTRINDO,0000000908255932,CA4000005,L9201UH,PT BERKAH MULTI CARGO,2022-7-12,2024-7-12,2022-7-8,2022-7-8,2022-7-8
REQ22SUB00007,APTRINDO,0000000585515998,CA4000006,L8993UH,PT BERKAH MULTI CARGO,2022-7-12,2024-7-12,2022-7-8,2022-7-8,2022-7-8
REQ22SUB00008,APTRINDO,0000000576176094,CA4000007,L9115UH,PT BERKAH MULTI CARGO,2022-7-12,2024-7-12,2022-7-8,2022-7-8,2022-7-8
REQ22SUB00009,APTRINDO,0000000571101150,CA4000008,L9121UH,PT BERKAH MULTI CARGO,2022-7-12,2024-7-12,2022-7-8,2022-7-8,2022-7-8
REQ22SUB00010,APTRINDO,0000000914633100,CA4000011,L9116UH,PT BERKAH MULTI CARGO,2022-7-15,2024-7-15,2022-7-12,2022-7-14,2022-7-14
REQ22SUB00011,APTRINDO,0000000669076173,CA4000012,L9089UH,PT BERKAH MULTI CARGO,2022-7-15,2024-7-15,2022-7-12,2022-7-14,2022-7-14
REQ22SUB00012,APTRINDO,0000000966079436,CA4000010,L9122UH,PT BERKAH MULTI CARGO,2022-7-15,2024-7-15,2022-7-13,2022-7-13,2022-7-13
REQ22SUB00013,APTRINDO,0000000914110156,CA4000013,L8954UU,PT. LINTANG BUMI NUSANTARA TRANS,2022-7-15,2024-7-15,2022-7-14,2022-7-15,2022-7-15
REQ22SUB00014,APTRINDO,0000000912113084,CA4000014,L8573UR,PT. LINTANG BUMI NUSANTARA TRANS,2022-7-18,2024-7-18,2022-7-14,2022-7-15,2022-7-16
REQ22SUB00017,MANDIRI,0000000906556604,CA4000015,L8570UL,PT PERMANA JAYA ABADI,2022-7-27,2024-7-27,2022-7-19,2022-7-19,2022-7-20
REQ22SUB00018,ORGANDA,,CA4000646,L9164US,PT. NILAM PENTA MARGA ABADI,,,2022-7-27,2022-9-9,2022-9-10
REQ22SUB00019,ORGANDA,,CA4000647,L9814UX,PT. NILAM PENTA MARGA ABADI,,,2022-7-27,2022-9-9,2022-9-10
REQ22SUB00020,ORGANDA,0000000970902700,CA4000017,L9815UX,PT. NILAM PENTA MARGA ABADI,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00021,ORGANDA,0000000914692044,CA4000018,L9816UX,PT. NILAM PENTA MARGA ABADI,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00022,ORGANDA,0000000656556493,CA4000019,L9820UX,PT. NILAM PENTA MARGA ABADI,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00023,ORGANDA,,,L9821UX,PT. NILAM PENTA MARGA ABADI,,,2022-7-27,2022-9-9,
REQ22SUB00024,ORGANDA,,CA4000649,L9084UY,PT. NILAM PENTA MARGA ABADI,,,2022-7-27,2022-9-9,2022-9-10
REQ22SUB00025,ORGANDA,,CA4000650,L9098UY,PT. NILAM PENTA MARGA ABADI,,,2022-7-27,2022-9-9,2022-9-10
REQ22SUB00026,ORGANDA,,CA4000652,L9101UY,PT. NILAM PENTA MARGA ABADI,,,2022-7-27,2022-9-9,2022-9-10
REQ22SUB00027,ORGANDA,,CA4000653,L9176UI,PT. SUMBER MAKMUR BANGKIT,,,2022-7-27,2022-9-9,2022-9-10
REQ22SUB00028,ORGANDA,,CA4000654,L9551UN,PT. SUMBER MAKMUR BANGKIT,,,2022-7-27,2022-9-9,2022-9-10
REQ22SUB00029,ORGANDA,0000000959228844,CA4000020,L8516UM,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00030,ORGANDA,0000000665000141,CA4000021,L9928UO,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00031,ORGANDA,0000000909376988,CA4000022,L8475UT,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00032,ORGANDA,0000000967136428,CA4000023,L9893UW,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00033,ORGANDA,0000000656971981,CA4000024,L8871UM,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00034,ORGANDA,0000000585046750,CA4000029,L8517UM,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00035,ORGANDA,0000000571699934,CA4000031,L9535UE,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
REQ22SUB00036,ORGANDA,0000000582532318,CA4000030,L9533UE,PT. SUMBER MAKMUR BANGKIT,2022-7-28,2024-7-28,2022-7-27,2022-7-27,2022-7-28
